step,train_loss,learning_rate
0,7.627500057220459,9.99999996949433e-05
1,7.7280473709106445,9.999999877977319e-05
2,7.710263729095459,9.999999725448971e-05
3,7.825356960296631,9.999999511909286e-05
4,7.39537239074707,9.999999237358266e-05
5,7.506140232086182,9.999998901795914e-05
6,6.387521266937256,9.999998505222237e-05
7,6.057178974151611,9.999998047637236e-05
8,5.885402202606201,9.999997529040921e-05
9,5.6230621337890625,9.999996949433295e-05
10,6.190688610076904,9.999996308814366e-05
11,5.6037983894348145,9.999995607184141e-05
12,5.182492256164551,9.999994844542631e-05
13,4.936251640319824,9.999994020889844e-05
14,4.8387250900268555,9.99999313622579e-05
15,4.576726913452148,9.999992190550477e-05
16,4.165510654449463,9.99999118386392e-05
17,3.814695358276367,9.99999011616613e-05
18,3.3076846599578857,9.999988987457121e-05
19,3.087679147720337,9.999987797736906e-05
20,2.938413619995117,9.999986547005499e-05
21,3.198622703552246,9.999985235262917e-05
22,2.321795701980591,9.999983862509174e-05
23,3.171048879623413,9.99998242874429e-05
24,2.3947675228118896,9.999980933968277e-05
25,2.419449806213379,9.999979378181158e-05
26,1.5966001749038696,9.999977761382949e-05
27,1.9324463605880737,9.999976083573673e-05
28,2.7760262489318848,9.999974344753346e-05
29,2.320436954498291,9.999972544921995e-05
30,1.334599256515503,9.999970684079637e-05
31,2.7004201412200928,9.999968762226296e-05
32,2.3652920722961426,9.999966779361998e-05
33,1.4140644073486328,9.999964735486764e-05
34,1.739482045173645,9.99996263060062e-05
35,1.4480602741241455,9.999960464703592e-05
36,1.414340853691101,9.999958237795707e-05
37,2.3177928924560547,9.999955949876991e-05
38,2.010075330734253,9.999953600947472e-05
39,1.5108815431594849,9.999951191007179e-05
40,1.5493407249450684,9.99994872005614e-05
41,2.5196046829223633,9.999946188094388e-05
42,2.3319053649902344,9.999943595121953e-05
43,2.34700345993042,9.999940941138865e-05
44,2.0249903202056885,9.999938226145157e-05
45,1.6716067790985107,9.999935450140863e-05
46,1.5022637844085693,9.999932613126016e-05
47,1.5522030591964722,9.999929715100652e-05
48,1.6278337240219116,9.999926756064805e-05
49,1.3376483917236328,9.999923736018513e-05
50,1.9529123306274414,9.99992065496181e-05
51,1.170292854309082,9.999917512894734e-05
52,1.655409336090088,9.999914309817327e-05
53,2.097792148590088,9.999911045729623e-05
54,1.109410047531128,9.999907720631666e-05
55,1.6753883361816406,9.999904334523493e-05
56,2.3231618404388428,9.999900887405148e-05
57,1.3514631986618042,9.999897379276672e-05
58,2.064577102661133,9.999893810138107e-05
59,2.384789228439331,9.999890179989499e-05
60,1.1169568300247192,9.999886488830891e-05
61,2.9451303482055664,9.999882736662327e-05
62,1.9543510675430298,9.999878923483853e-05
63,1.6016100645065308,9.999875049295516e-05
64,1.4194551706314087,9.999871114097366e-05
65,1.3076212406158447,9.999867117889447e-05
66,2.095726728439331,9.99986306067181e-05
67,2.0437963008880615,9.999858942444502e-05
68,1.0907249450683594,9.999854763207577e-05
69,1.1193256378173828,9.999850522961082e-05
70,1.8361567258834839,9.999846221705071e-05
71,2.0973622798919678,9.999841859439598e-05
72,1.8154376745224,9.999837436164712e-05
73,1.328097939491272,9.999832951880471e-05
74,1.9474380016326904,9.999828406586928e-05
75,1.4584228992462158,9.999823800284138e-05
76,1.6133577823638916,9.999819132972158e-05
77,1.7570890188217163,9.999814404651045e-05
78,1.5984077453613281,9.999809615320856e-05
79,1.6520582437515259,9.99980476498165e-05
80,2.4662342071533203,9.999799853633486e-05
81,1.7480586767196655,9.999794881276425e-05
82,2.0473484992980957,9.999789847910527e-05
83,1.2134466171264648,9.99978475353585e-05
84,1.128746509552002,9.999779598152461e-05
85,1.4323052167892456,9.999774381760423e-05
86,1.509156584739685,9.999769104359795e-05
87,1.4008132219314575,9.999763765950647e-05
88,0.5638556480407715,9.99975836653304e-05
89,0.8381975293159485,9.99975290610704e-05
90,1.5029240846633911,9.999747384672717e-05
91,1.4138789176940918,9.999741802230134e-05
92,2.182314395904541,9.999736158779363e-05
93,1.454441785812378,9.999730454320471e-05
94,1.4948521852493286,9.999724688853528e-05
95,1.912361741065979,9.999718862378605e-05
96,0.9902303814888,9.99971297489577e-05
97,2.1951096057891846,9.999707026405099e-05
98,1.6906558275222778,9.999701016906662e-05
99,1.7643059492111206,9.999694946400532e-05
100,2.2392210960388184,9.999688814886787e-05
101,1.3773599863052368,9.999682622365497e-05
102,1.5518032312393188,9.999676368836741e-05
103,2.4972994327545166,9.999670054300594e-05
104,1.7340589761734009,9.999663678757132e-05
105,2.6483752727508545,9.999657242206432e-05
106,2.2000927925109863,9.999650744648576e-05
107,2.297024965286255,9.999644186083641e-05
108,1.125541090965271,9.999637566511708e-05
109,2.2883670330047607,9.999630885932857e-05
110,1.521812081336975,9.99962414434717e-05
111,1.3610529899597168,9.999617341754729e-05
112,2.070039749145508,9.999610478155616e-05
113,2.3277223110198975,9.999603553549917e-05
114,1.1859166622161865,9.999596567937715e-05
115,1.8633846044540405,9.999589521319095e-05
116,2.3304591178894043,9.999582413694145e-05
117,0.9980306625366211,9.99957524506295e-05
118,1.6731476783752441,9.999568015425596e-05
119,1.5962917804718018,9.999560724782174e-05
120,1.147391676902771,9.999553373132771e-05
121,1.5838940143585205,9.999545960477478e-05
122,2.199254274368286,9.999538486816385e-05
123,1.8793648481369019,9.999530952149584e-05
124,1.1499974727630615,9.999523356477166e-05
125,1.528273105621338,9.999515699799224e-05
126,1.3938560485839844,9.999507982115852e-05
127,1.4240926504135132,9.999500203427143e-05
128,1.6315773725509644,9.999492363733192e-05
129,1.5574555397033691,9.999484463034095e-05
130,1.6315146684646606,9.999476501329949e-05
131,1.8049782514572144,9.999468478620851e-05
132,2.2540431022644043,9.999460394906897e-05
133,1.6660442352294922,9.999452250188188e-05
134,2.0144202709198,9.999444044464823e-05
135,2.330059766769409,9.999435777736902e-05
136,2.3860678672790527,9.999427450004524e-05
137,1.900299072265625,9.999419061267794e-05
138,1.340885877609253,9.999410611526812e-05
139,0.8471927046775818,9.999402100781682e-05
140,2.1361868381500244,9.999393529032508e-05
141,1.890261173248291,9.999384896279392e-05
142,1.5357427597045898,9.999376202522442e-05
143,1.5846651792526245,9.999367447761764e-05
144,1.511464238166809,9.999358631997463e-05
145,1.23359215259552,9.99934975522965e-05
146,1.8526947498321533,9.99934081745843e-05
147,2.3841135501861572,9.999331818683914e-05
148,1.908600926399231,9.99932275890621e-05
149,1.885265827178955,9.999313638125432e-05
150,1.3325450420379639,9.999304456341687e-05
151,1.088068962097168,9.999295213555089e-05
152,1.3129644393920898,9.999285909765752e-05
153,2.0377371311187744,9.999276544973787e-05
154,1.2316606044769287,9.999267119179309e-05
155,1.3063350915908813,9.999257632382434e-05
156,2.450579881668091,9.999248084583278e-05
157,1.4146839380264282,9.999238475781957e-05
158,1.7424523830413818,9.999228805978588e-05
159,2.3183035850524902,9.999219075173288e-05
160,1.3433849811553955,9.999209283366178e-05
161,2.266911506652832,9.999199430557376e-05
162,2.119969606399536,9.999189516747003e-05
163,2.0410945415496826,9.999179541935179e-05
164,2.049926280975342,9.999169506122025e-05
165,1.8989065885543823,9.999159409307667e-05
166,1.6015987396240234,9.999149251492225e-05
167,1.5696766376495361,9.999139032675823e-05
168,1.7657630443572998,9.999128752858587e-05
169,1.9466302394866943,9.999118412040643e-05
170,1.5404396057128906,9.999108010222115e-05
171,1.6606712341308594,9.999097547403133e-05
172,2.180555820465088,9.999087023583821e-05
173,1.9343233108520508,9.999076438764309e-05
174,1.8559584617614746,9.999065792944726e-05
175,1.5614815950393677,9.999055086125204e-05
176,1.846570611000061,9.99904431830587e-05
177,1.9576224088668823,9.999033489486859e-05
178,1.7311848402023315,9.9990225996683e-05
179,1.485376000404358,9.999011648850326e-05
180,1.3128553628921509,9.999000637033073e-05
181,1.868103265762329,9.998989564216676e-05
182,1.2712589502334595,9.998978430401267e-05
183,1.7592867612838745,9.998967235586983e-05
184,1.3231078386306763,9.998955979773961e-05
185,2.13775372505188,9.998944662962339e-05
186,2.0969343185424805,9.998933285152253e-05
187,1.9576137065887451,9.998921846343843e-05
188,2.4177722930908203,9.99891034653725e-05
189,1.5780975818634033,9.998898785732612e-05
190,1.8238431215286255,9.998887163930071e-05
191,0.9015754461288452,9.99887548112977e-05
192,1.3998703956604004,9.99886373733185e-05
193,1.9341217279434204,9.998851932536455e-05
194,1.6860778331756592,9.998840066743729e-05
195,1.4343435764312744,9.998828139953816e-05
196,2.3100435733795166,9.998816152166863e-05
197,1.3764597177505493,9.998804103383015e-05
198,1.1654576063156128,9.998791993602418e-05
199,1.1592124700546265,9.998779822825224e-05
200,2.918887138366699,9.998767591051578e-05
201,2.800452947616577,9.998755298281629e-05
202,1.377548098564148,9.998742944515529e-05
203,2.3530020713806152,9.998730529753426e-05
204,1.925342321395874,9.998718053995475e-05
205,0.7425013184547424,9.998705517241825e-05
206,2.520319938659668,9.998692919492631e-05
207,2.0890815258026123,9.998680260748046e-05
208,1.7482272386550903,9.998667541008225e-05
209,1.2727230787277222,9.99865476027332e-05
210,1.1312235593795776,9.998641918543494e-05
211,1.3411098718643188,9.998629015818898e-05
212,1.664438009262085,9.998616052099691e-05
213,1.6720476150512695,9.99860302738603e-05
214,1.310400128364563,9.998589941678074e-05
215,1.630610704421997,9.998576794975985e-05
216,1.419899821281433,9.998563587279922e-05
