step,train_loss,learning_rate
0,4.776789665222168,9.99997207561336e-05
1,5.269174098968506,9.999888302765347e-05
2,5.366561412811279,9.999748682391682e-05
3,5.553929805755615,9.999553216051892e-05
4,4.82276725769043,9.999301905929287e-05
5,5.019637584686279,9.998994754830941e-05
6,5.380634307861328,9.998631766187653e-05
7,5.234864234924316,9.99821294405392e-05
8,5.212547302246094,9.997738293107882e-05
9,4.554097652435303,9.997207818651274e-05
10,4.72188138961792,9.996621526609364e-05
11,5.269034385681152,9.995979423530892e-05
12,4.707677364349365,9.995281516587991e-05
13,5.090181827545166,9.99452781357611e-05
14,4.328558444976807,9.993718322913929e-05
15,4.940282344818115,9.992853053643257e-05
16,4.616497993469238,9.991932015428941e-05
17,4.766548156738281,9.99095521855875e-05
18,4.702282905578613,9.98992267394327e-05
19,4.589664459228516,9.988834393115766e-05
20,4.254678726196289,9.98769038823207e-05
21,4.112797260284424,9.986490672070436e-05
22,3.88486385345459,9.9852352580314e-05
23,4.224640369415283,9.983924160137627e-05
24,4.169772624969482,9.98255739303376e-05
25,3.901454210281372,9.981134971986251e-05
26,3.822129011154175,9.979656912883194e-05
27,3.7857232093811035,9.978123232234149e-05
28,3.6487174034118652,9.976533947169951e-05
29,3.7494750022888184,9.974889075442524e-05
30,3.5358688831329346,9.973188635424682e-05
31,3.3195319175720215,9.971432646109922e-05
32,3.4164443016052246,9.969621127112214e-05
33,3.1822712421417236,9.96775409866578e-05
34,3.1204047203063965,9.965831581624874e-05
35,3.318368673324585,9.963853597463536e-05
36,3.0034334659576416,9.961820168275362e-05
37,2.6774446964263916,9.959731316773262e-05
38,3.0299689769744873,9.957587066289192e-05
39,2.796354055404663,9.955387440773905e-05
40,3.377599000930786,9.953132464796676e-05
41,3.093714952468872,9.950822163545035e-05
42,3.324049472808838,9.94845656282448e-05
43,3.1592109203338623,9.94603568905819e-05
44,3.1941945552825928,9.943559569286733e-05
45,3.289188861846924,9.941028231167757e-05
46,3.403531074523926,9.93844170297569e-05
47,3.192523241043091,9.935800013601416e-05
48,3.2188756465911865,9.933103192551958e-05
49,3.0982067584991455,9.930351269950143e-05
50,3.1223204135894775,9.927544276534276e-05
51,3.062906265258789,9.924682243657779e-05
52,2.7976067066192627,9.921765203288861e-05
53,2.870059013366699,9.918793188010147e-05
54,3.071507692337036,9.915766231018318e-05
55,3.435850143432617,9.91268436612374e-05
56,3.353646755218506,9.909547627750089e-05
57,2.842447280883789,9.906356050933962e-05
58,2.9771065711975098,9.90310967132449e-05
59,2.925358533859253,9.899808525182936e-05
60,3.0232925415039062,9.896452649382293e-05
61,2.883816719055176,9.89304208140687e-05
62,3.2530758380889893,9.889576859351874e-05
63,3.099317789077759,9.886057021922984e-05
64,3.0529768466949463,9.882482608435924e-05
65,2.9931132793426514,9.878853658816015e-05
66,3.033949851989746,9.875170213597732e-05
67,3.068307399749756,9.871432313924255e-05
68,3.1939690113067627,9.867640001547008e-05
69,2.7750675678253174,9.863793318825186e-05
70,3.3811306953430176,9.859892308725296e-05
71,2.8025405406951904,9.85593701482066e-05
72,3.026686668395996,9.851927481290943e-05
73,3.6604559421539307,9.84786375292165e-05
74,2.9899754524230957,9.843745875103628e-05
75,3.2962288856506348,9.839573893832564e-05
76,3.282926321029663,9.835347855708465e-05
77,2.9860873222351074,9.83106780793514e-05
78,2.874001979827881,9.826733798319671e-05
79,3.4247705936431885,9.822345875271885e-05
80,3.3446319103240967,9.817904087803802e-05
81,3.2584190368652344,9.813408485529103e-05
82,3.457232713699341,9.808859118662559e-05
83,2.816079616546631,9.804256038019482e-05
84,2.9997096061706543,9.799599295015154e-05
85,3.151841402053833,9.794888941664254e-05
86,2.9593982696533203,9.790125030580269e-05
87,3.061336040496826,9.785307614974921e-05
88,3.036916971206665,9.780436748657558e-05
89,2.6941964626312256,9.775512486034563e-05
90,3.122295618057251,9.77053488210874e-05
91,2.8591363430023193,9.765503992478704e-05
92,2.9305179119110107,9.76041987333826e-05
93,3.0724680423736572,9.755282581475769e-05
94,3.2602405548095703,9.75009217427352e-05
95,3.461495876312256,9.744848709707091e-05
96,2.862553834915161,9.739552246344692e-05
97,3.063953399658203,9.734202843346522e-05
98,3.133139133453369,9.728800560464097e-05
99,3.0924384593963623,9.723345458039593e-05
100,2.965322971343994,9.717837597005166e-05
101,3.1010830402374268,9.712277038882272e-05
102,3.0542335510253906,9.706663845780981e-05
103,2.9506263732910156,9.700998080399284e-05
104,2.8622779846191406,9.695279806022388e-05
105,3.0577332973480225,9.689509086522016e-05
106,3.0948524475097656,9.68368598635569e-05
107,3.002206802368164,9.677810570566009e-05
108,2.5969884395599365,9.671882904779925e-05
109,2.9720804691314697,9.665903055208011e-05
110,2.5219478607177734,9.659871088643723e-05
111,3.082571029663086,9.653787072462642e-05
112,2.810701608657837,9.64765107462174e-05
113,2.8361878395080566,9.641463163658605e-05
114,3.3292295932769775,9.635223408690687e-05
115,3.0727531909942627,9.628931879414516e-05
116,3.332970380783081,9.622588646104932e-05
117,3.1599056720733643,9.616193779614292e-05
118,2.6805975437164307,9.609747351371688e-05
119,3.3366286754608154,9.603249433382143e-05
120,3.411864995956421,9.596700098225804e-05
121,2.8040530681610107,9.59009941905714e-05
122,3.2757928371429443,9.583447469604116e-05
123,3.2073612213134766,9.576744324167376e-05
124,3.310194492340088,9.569990057619411e-05
125,2.9316749572753906,9.56318474540372e-05
126,2.8118228912353516,9.556328463533973e-05
127,2.741856098175049,9.549421288593153e-05
128,3.365133047103882,9.542463297732711e-05
129,2.928088665008545,9.5354545686717e-05
130,3.0351927280426025,9.528395179695901e-05
131,3.294870615005493,9.521285209656958e-05
132,3.2958593368530273,9.514124737971491e-05
133,2.7245006561279297,9.506913844620213e-05
134,3.308769464492798,9.499652610147035e-05
135,3.1157848834991455,9.492341115658163e-05
136,2.59596848487854,9.484979442821195e-05
137,3.6755242347717285,9.477567673864211e-05
138,3.2243263721466064,9.470105891574854e-05
139,2.8947036266326904,9.462594179299401e-05
140,2.988377809524536,9.455032620941833e-05
141,2.8171989917755127,9.447421300962905e-05
142,2.986262559890747,9.439760304379192e-05
143,3.085386037826538,9.432049716762145e-05
144,3.3683149814605713,9.424289624237138e-05
145,3.0417370796203613,9.416480113482498e-05
146,3.3745479583740234,9.408621271728548e-05
147,2.725555419921875,9.400713186756619e-05
148,3.3818395137786865,9.392755946898082e-05
149,3.5820000171661377,9.384749641033353e-05
150,2.739428997039795,9.376694358590906e-05
151,3.28053617477417,9.368590189546265e-05
152,2.728634834289551,9.360437224421013e-05
153,3.1923766136169434,9.35223555428177e-05
154,3.098701238632202,9.343985270739178e-05
155,2.693881034851074,9.335686465946881e-05
156,2.901397228240967,9.327339232600495e-05
157,3.229541540145874,9.318943663936565e-05
158,2.916261672973633,9.310499853731536e-05
159,3.323242425918579,9.302007896300694e-05
160,3.013296127319336,9.293467886497118e-05
161,3.2326245307922363,9.284879919710627e-05
162,2.976710557937622,9.2762440918667e-05
163,2.9902775287628174,9.267560499425419e-05
164,2.4813461303710938,9.258829239380376e-05
165,2.6226325035095215,9.250050409257606e-05
166,3.3881728649139404,9.24122410711449e-05
167,3.047466278076172,9.23235043153865e-05
168,2.707491159439087,9.223429481646875e-05
169,2.894329786300659,9.21446135708398e-05
170,2.830348014831543,9.205446158021719e-05
171,2.944807529449463,9.196383985157651e-05
172,3.443974256515503,9.187274939714024e-05
173,2.7466278076171875,9.178119123436644e-05
174,2.6046955585479736,9.16891663859373e-05
175,3.530719041824341,9.15966758797478e-05
176,3.0545079708099365,9.15037207488942e-05
177,3.17708683013916,9.14103020316625e-05
178,3.275087833404541,9.131642077151688e-05
179,2.7950971126556396,9.122207801708796e-05
180,3.067089796066284,9.112727482216117e-05
181,3.1217124462127686,9.103201224566492e-05
182,3.23488450050354,9.093629135165885e-05
183,2.4176323413848877,9.084011320932182e-05
184,2.5863404273986816,9.074347889294011e-05
185,2.7795135974884033,9.064638948189532e-05
186,3.5094735622406006,9.054884606065237e-05
187,3.4793334007263184,9.04508497187473e-05
188,2.9042999744415283,9.035240155077525e-05
189,2.5154919624328613,9.025350265637807e-05
190,2.9274563789367676,9.015415414023217e-05
191,2.7437398433685303,9.005435711203611e-05
192,3.064316511154175,8.995411268649817e-05
193,2.937767744064331,8.9853421983324e-05
194,2.6137194633483887,8.975228612720409e-05
195,2.7819643020629883,8.96507062478011e-05
196,3.1023056507110596,8.954868347973736e-05
197,3.295189380645752,8.944621896258218e-05
198,3.038878917694092,8.934331384083906e-05
199,2.647257089614868,8.923996926393298e-05
200,2.977135181427002,8.91361863861975e-05
201,2.615870475769043,8.903196636686191e-05
202,2.7556354999542236,8.892731037003823e-05
203,2.7140071392059326,8.88222195647083e-05
204,2.7846102714538574,8.871669512471062e-05
205,3.3154258728027344,8.861073822872729e-05
206,2.8702940940856934,8.850435006027084e-05
207,2.6221067905426025,8.839753180767102e-05
208,3.1308059692382812,8.82902846640615e-05
209,3.0737802982330322,8.818260982736655e-05
210,2.984243631362915,8.807450850028769e-05
211,3.222987174987793,8.796598189029023e-05
212,2.807903289794922,8.785703120958977e-05
213,2.953016996383667,8.774765767513869e-05
214,3.26263165473938,8.763786250861249e-05
215,3.4798641204833984,8.752764693639632e-05
216,3.060978889465332,8.741701218957103e-05
217,3.3907861709594727,8.730595950389961e-05
218,3.213531494140625,8.719449011981331e-05
219,2.9409565925598145,8.708260528239782e-05
220,3.1839497089385986,8.69703062413793e-05
221,2.8723769187927246,8.685759425111049e-05
222,2.891415596008301,8.674447057055666e-05
223,3.0634539127349854,8.663093646328161e-05
224,2.782505750656128,8.651699319743342e-05
225,2.3593335151672363,8.640264204573043e-05
226,2.794419527053833,8.628788428544693e-05
227,2.541694402694702,8.617272119839898e-05
228,3.1806752681732178,8.605715407093e-05
229,2.8999183177948,8.594118419389642e-05
230,3.1188266277313232,8.582481286265335e-05
231,2.965183973312378,8.570804137703999e-05
232,3.037419557571411,8.55908710413652e-05
233,3.146944761276245,8.547330316439285e-05
234,3.2699015140533447,8.535533905932733e-05
235,3.064413547515869,8.523698004379871e-05
236,3.0753846168518066,8.511822743984817e-05
237,2.9675381183624268,8.499908257391318e-05
238,2.986652135848999,8.487954677681264e-05
239,2.903312921524048,8.475962138373207e-05
240,2.6390645503997803,8.463930773420868e-05
241,2.74074649810791,8.451860717211645e-05
242,2.9458682537078857,8.439752104565104e-05
243,3.32902193069458,8.427605070731476e-05
244,3.244370937347412,8.41541975139015e-05
245,2.710416316986084,8.403196282648152e-05
246,2.8542752265930176,8.390934801038628e-05
247,2.7954914569854736,8.378635443519323e-05
248,2.914109945297241,8.366298347471039e-05
249,2.7743616104125977,8.353923650696115e-05
250,3.151171922683716,8.341511491416874e-05
251,3.0114283561706543,8.329062008274096e-05
252,2.9467406272888184,8.316575340325449e-05
253,2.8825466632843018,8.30405162704395e-05
254,2.951564073562622,8.291491008316405e-05
255,2.955448865890503,8.278893624441845e-05
256,3.094078540802002,8.266259616129957e-05
257,2.675477981567383,8.25358912449951e-05
258,3.254697322845459,8.24088229107679e-05
259,2.700648307800293,8.228139257794012e-05
260,2.953951597213745,8.215360166987725e-05
261,3.5511891841888428,8.202545161397239e-05
262,2.8687732219696045,8.189694384163029e-05
